clip_id,display_name,srt_file,srt_path
2026-05-25 21-26-06__chapter_0001,Chapitre 1,Chapitre 1.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Chapitre 1.srt
2026-05-25 21-26-06__fallback_0000,Auto 1,Auto 1.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 1.srt
2026-05-25 21-26-06__fallback_0001,Auto 2,Auto 2.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 2.srt
2026-05-25 21-26-06__fallback_0002,Auto 3,Auto 3.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 3.srt
2026-05-25 21-26-06__fallback_0003,Auto 4,Auto 4.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 4.srt
2026-05-25 21-26-06__fallback_0005,Auto 5,Auto 5.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 5.srt
2026-05-25 21-26-06__fallback_0006,Auto 6,Auto 6.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 6.srt
2026-05-25 21-26-06__fallback_0011,Auto 7,Auto 7.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 7.srt
2026-05-25 21-26-06__fallback_0013,Auto 8,Auto 8.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 8.srt
2026-05-25 21-26-06__fallback_0019,Auto 9,Auto 9.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 9.srt
2026-05-25 21-26-06__fallback_0020,Auto 10,Auto 10.srt,C:\Users\untho\Desktop\Short Editor\output\subtitles\batch_20260530_025234_c29701\Auto 10.srt
